<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.04.30	9112.78	9155.52	8868.78	8881.40	342101	0	0
2020.05.01	8853.52	8891.15	8683.15	8714.15	276631	0	0
2020.05.04	8623.52	8837.65	8567.52	8819.40	344381	0	0
2020.05.05	8818.15	9032.52	8809.15	8945.52	319371	0	0
2020.05.06	8939.65	9067.78	8889.28	8956.90	339751	0	0
2020.05.07	8958.90	9137.52	8940.90	9129.15	222991	0	0
2020.05.08	9121.15	9247.02	9112.78	9230.02	159611	0	0
2020.05.11	9204.02	9347.15	9127.15	9288.40	355621	0	0
2020.05.12	9290.15	9353.52	9049.65	9052.65	370241	0	0
2020.05.13	9054.02	9210.52	8886.52	9020.40	614381	0	0
2020.05.14	9023.02	9111.90	8855.52	9096.78	439001	0	0
2020.05.15	9091.52	9157.40	8933.28	9127.78	411981	0	0
2020.05.18	9122.90	9369.28	9120.02	9324.52	296901	0	0
2020.05.19	9327.28	9423.90	9291.02	9304.02	242501	0	0
2020.05.20	9290.40	9499.78	9277.28	9496.28	239121	0	0
2020.05.21	9501.15	9512.90	9356.52	9362.52	174131	0	0
2020.05.22	9361.90	9425.78	9246.15	9424.65	296511	0	0
2020.05.25	9397.40	9540.15	9394.65	9534.52	153881	0	0
2020.05.26	9533.02	9607.65	9377.02	9413.02	341261	0	0
2020.05.27	9412.15	9511.78	9179.02	9445.52	632151	0	0
2020.05.28	9436.90	9570.35	9325.52	9463.85	462711	0	0
2020.05.29	9458.60	9595.25	9377.00	9591.75	303351	0	0
2020.06.01	9493.45	9610.35	9455.20	9598.35	205401	0	0
2020.06.02	9594.45	9674.75	9509.70	9662.85	261701	0	0
2020.06.03	9661.75	9732.15	9639.65	9694.15	152601	0	0
2020.06.04	9690.00	9745.05	9575.15	9646.65	296451	0	0
2020.06.05	9643.75	9848.65	9605.65	9810.15	319601	0	0
2020.06.08	9821.60	9903.65	9750.00	9886.50	242401	0	0
2020.06.09	9885.35	10007.75	9814.50	9964.25	307601	0	0
2020.06.10	9966.60	10158.05	9961.25	10089.90	270301	0	0
2020.06.11	10087.45	10107.85	9585.85	9621.85	578401	0	0
2020.06.12	9611.90	9850.30	9495.35	9647.25	674551	0	0
2020.06.15	9537.20	9815.60	9381.70	9812.60	592401	0	0
2020.06.16	9811.20	10014.50	9799.20	9972.20	269601	0	0
2020.06.17	9966.55	10060.70	9928.95	9999.70	230351	0	0
2020.06.18	9989.80	10042.20	9879.95	10000.95	313351	0	0
2020.06.19	9996.35	10124.60	9928.20	9938.25	334701	0	0
2020.06.22	9878.55	10146.05	9855.95	10133.70	325051	0	0
2020.06.23	10134.40	10308.30	9985.05	10189.55	591351	0	0
2020.06.24	10194.40	10254.05	9940.20	10027.85	461151	0	0
2020.06.25	10020.30	10119.70	9898.45	10109.45	353351	0	0
