DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2020-03-03,8838.5,9000.75,8540.64,8559.12,640841
2020-03-04,8547.8,8949.85,8511.88,8889.48,534261
2020-03-05,8885.85,8899.1,8612.16,8674.98,363011
2020-03-06,8672.3,8726.6,8314.22,8505.6,658061
2020-03-09,8173.85,8243.98,7823.6,7920.48,587381
2020-03-10,8019.65,8382.89,7937.17,8361.8,549281
2020-03-11,8244.63,8264.38,7897.68,8009.58,498351
2020-03-12,8090.38,8094.03,7135.14,7161.74,989136
2020-03-13,7193.1,7980.48,6945.98,7830.98,1431111
2020-03-16,7561.72,7562.22,6925.58,7041.32,752881
2020-03-17,7090.82,7554.32,6950.45,7364.95,933611
2020-03-18,7300.58,7342.2,6826.95,7256.32,986241
2020-03-19,7338.08,7520.08,6891.32,7203.58,1123021
2020-03-20,7162.2,7648.7,6902.08,6923.95,1254991
2020-03-23,6780.32,7323.82,6632.32,6984.52,1178801
2020-03-24,7028.02,7581.4,7028.02,7564.65,570131
2020-03-25,7561.02,7775.9,7382.52,7493.78,719521
2020-03-26,7508.78,7912.28,7326.28,7883.9,796881
2020-03-27,7906.9,7911.02,7570.28,7584.65,359231
2020-03-30,7561.52,7901.02,7429.28,7870.52,634481
2020-03-31,7871.52,8014.78,7765.52,7797.02,424021
2020-04-01,7790.65,7790.65,7423.78,7482.15,425241
2020-04-02,7488.9,7673.65,7394.9,7640.02,406381
2020-04-03,7641.4,7677.15,7440.28,7533.78,366121
2020-04-06,7557.02,8109.65,7557.02,8046.9,615381
2020-04-07,8040.4,8314.02,7958.52,8010.4,681001
2020-04-08,8022.4,8252.65,7964.4,8211.9,387001
2020-04-09,8199.78,8337.15,8114.4,8251.78,393501
2020-04-13,8315.78,8351.28,8083.4,8351.28,500261
2020-04-14,8352.15,8715.65,8332.4,8715.65,403001
2020-04-15,8713.52,8716.4,8498.9,8588.15,309631
2020-04-16,8587.78,8854.15,8512.78,8850.02,420501
2020-04-17,8943.65,8978.52,8702.15,8821.4,430491
2020-04-20,8808.02,8857.9,8699.15,8726.02,235501
2020-04-21,8714.65,8774.65,8356.02,8449.02,571631
2020-04-22,8463.9,8710.9,8413.65,8645.02,413381
2020-04-23,8647.28,8797.9,8593.52,8611.78,373261
2020-04-24,8591.15,8792.4,8509.28,8781.02,376371
2020-04-27,8825.9,8909.52,8742.4,8829.28,330861
2020-04-28,8830.9,8957.52,8666.15,8710.4,462241
2020-04-29,8780.52,9129.4,8745.28,9129.02,419741
2020-04-30,9112.78,9155.52,8868.78,8881.4,342101
2020-05-01,8853.52,8891.15,8683.15,8714.15,276631
2020-05-04,8623.52,8837.65,8567.52,8819.4,344381
2020-05-05,8818.15,9032.52,8809.15,8945.52,319371
2020-05-06,8939.65,9067.78,8889.28,8956.9,339751
2020-05-07,8958.9,9137.52,8940.9,9129.15,222991
2020-05-08,9121.15,9247.02,9112.78,9230.02,159611
2020-05-11,9204.02,9347.15,9127.15,9288.4,355621
2020-05-12,9290.15,9353.52,9049.65,9052.65,370241
2020-05-13,9054.02,9210.52,8886.52,9020.4,614381
2020-05-14,9023.02,9111.9,8855.52,9096.78,439001
2020-05-15,9091.52,9157.4,8933.28,9127.78,411981
2020-05-18,9122.9,9369.28,9120.02,9324.52,296901
2020-05-19,9327.28,9423.9,9291.02,9304.02,242501
2020-05-20,9290.4,9499.78,9277.28,9496.28,239121
2020-05-21,9501.15,9512.9,9356.52,9362.52,174131
2020-05-22,9361.9,9425.78,9246.15,9424.65,296511
2020-05-25,9397.4,9540.15,9394.65,9534.52,153881
2020-05-26,9533.02,9607.65,9377.02,9413.02,341261
2020-05-27,9412.15,9511.78,9179.02,9445.52,632151
2020-05-28,9436.9,9570.35,9325.52,9463.85,462711
2020-05-29,9458.6,9595.25,9377.0,9591.75,303351
2020-06-01,9493.45,9610.35,9455.2,9598.35,205401
2020-06-02,9594.45,9674.75,9509.7,9662.85,261701
2020-06-03,9661.75,9732.15,9639.65,9694.15,152601
2020-06-04,9690.0,9745.05,9575.15,9646.65,296451
2020-06-05,9643.75,9848.65,9605.65,9810.15,319601
2020-06-08,9821.6,9903.65,9750.0,9886.5,242401
2020-06-09,9885.35,10007.75,9814.5,9964.25,307601
2020-06-10,9966.6,10158.05,9961.25,10089.9,270301
2020-06-11,10087.45,10107.85,9585.85,9621.85,578401
2020-06-12,9611.9,9850.3,9495.35,9647.25,674551
2020-06-15,9537.2,9815.6,9381.7,9812.6,592401
2020-06-16,9811.2,10014.5,9799.2,9972.2,269601
2020-06-17,9966.55,10060.7,9928.95,9999.7,230351
2020-06-18,9989.8,10042.2,9879.95,10000.95,313351
2020-06-19,9996.35,10124.6,9928.2,9938.25,334701
2020-06-22,9878.55,10146.05,9855.95,10133.7,325051
2020-06-23,10134.4,10308.3,9985.05,10189.55,591351
2020-06-24,10194.4,10254.05,9940.2,10027.85,461151
2020-06-25,10020.3,10119.7,9898.45,10109.45,353351
2020-06-26,10102.15,10132.95,9836.95,9857.45,347301
2020-06-29,9794.35,10009.5,9741.6,9998.5,331651
2020-06-30,9991.3,10183.35,9952.2,10151.45,302151
2020-07-01,10149.8,10320.7,10088.2,10267.7,347101
2020-07-02,10266.85,10431.35,10257.75,10360.5,253551
2020-07-03,10358.15,10400.8,10320.3,10336.25,139101
2020-07-06,10359.75,10625.4,10352.5,10609.4,296151
2020-07-07,10613.05,10705.2,10516.7,10537.45,301401
2020-07-08,10536.2,10683.85,10516.2,10682.6,188901
2020-07-09,10692.85,10784.0,10571.0,10734.5,384351
2020-07-10,10736.9,10884.51,10636.65,10853.5,379121
2020-07-13,10859.7,11069.75,10573.55,10610.15,742851
2020-07-14,10614.8,10703.7,10370.2,10655.2,626601
2020-07-15,10723.7,10776.9,10562.0,10699.15,405251
2020-07-16,10701.1,10708.75,10486.55,10544.7,288001
2020-07-17,10549.2,10680.0,10534.85,10633.85,205651
2020-07-20,10630.25,10973.65,10557.15,10958.4,504851
2020-07-21,10959.75,11068.9,10796.25,10856.6,442151
2020-07-22,10852.9,10927.2,10772.6,10856.65,305451
2020-07-23,10860.1,10949.5,10525.75,10575.75,563151
2020-07-24,10579.4,10608.8,10313.8,10471.95,482551
2020-07-27,10492.3,10695.2,10412.95,10693.7,363101
2020-07-28,10692.3,10769.7,10525.45,10559.2,355401
2020-07-29,10571.9,10711.05,10524.3,10710.3,235101
2020-07-30,10708.5,10905.9,10513.5,10902.15,591151
2020-07-31,10917.3,10949.45,10701.8,10925.95,486651
2020-08-03,10941.35,11083.75,10887.25,11063.5,270851
2020-08-04,11062.6,11106.4,10994.9,11089.9,195701
2020-08-05,11088.15,11155.95,11068.05,11107.8,156151
2020-08-06,11102.25,11281.9,11061.4,11268.65,274601
2020-08-07,11267.45,11290.35,11043.25,11139.5,366251
2020-08-10,11148.35,11154.25,10936.35,11087.5,374951
2020-08-11,11075.45,11166.05,10853.65,10918.9,468251
2020-08-12,10947.1,11193.3,10887.25,11125.95,433251
2020-08-13,11122.65,11274.3,11102.8,11190.05,275601
2020-08-14,11188.9,11245.05,11103.55,11154.3,248401
2020-08-17,11155.7,11308.7,11155.7,11295.45,166251
2020-08-18,11291.75,11422.85,11275.05,11421.6,165751
2020-08-19,11417.2,11443.65,11303.8,11325.55,188051
2020-08-20,11319.7,11501.45,11226.05,11485.15,385351
2020-08-21,11486.55,11578.2,11411.95,11567.7,251351
2020-08-24,11591.15,11727.4,11534.0,11639.35,338601
2020-08-25,11641.7,11747.6,11580.75,11741.6,233801
2020-08-26,11741.2,12006.85,11732.1,11990.6,300101
2020-08-27,11985.6,12050.75,11839.5,11952.0,388901
2020-08-28,11955.5,12022.4,11925.15,12006.9,143101
2020-08-31,12011.5,12169.4,11993.4,12109.9,253601
2020-09-01,12113.05,12333.2,12097.7,12332.7,251351
2020-09-02,12325.35,12469.0,12176.55,12412.05,498201
